query,answer,domains,subset,base_template,chosen_template
Can you make a bar chart of total visits since November 21?,"['analytics.create_plot.func(time_min=""2023-11-21"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""bar"")']",['analytics'],analytics,Can you make a {plot_type} chart of {natural_language_metric} since {natural_language_date}?,Can you make a {plot_type} chart of {natural_language_metric} since {natural_language_date}?
Can you make a histogram chart of engaged users since September 27?,"['analytics.create_plot.func(time_min=""2023-09-27"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""histogram"")']",['analytics'],analytics,Can you make a {plot_type} chart of {natural_language_metric} since {natural_language_date}?,Can you make a {plot_type} chart of {natural_language_metric} since {natural_language_date}?
Create a bar chart of total visits since September 2,"['analytics.create_plot.func(time_min=""2023-09-02"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""bar"")']",['analytics'],analytics,Can you make a {plot_type} chart of {natural_language_metric} since {natural_language_date}?,Create a {plot_type} chart of {natural_language_metric} since {natural_language_date}
Can you make a scatter chart of engaged users since September 7?,"['analytics.create_plot.func(time_min=""2023-09-07"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""scatter"")']",['analytics'],analytics,Can you make a {plot_type} chart of {natural_language_metric} since {natural_language_date}?,Can you make a {plot_type} chart of {natural_language_metric} since {natural_language_date}?
Can you make a bar chart of engaged users since October 2?,"['analytics.create_plot.func(time_min=""2023-10-02"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""bar"")']",['analytics'],analytics,Can you make a {plot_type} chart of {natural_language_metric} since {natural_language_date}?,Can you make a {plot_type} chart of {natural_language_metric} since {natural_language_date}?
Plot total visits since October 28 as a scatter chart,"['analytics.create_plot.func(time_min=""2023-10-28"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""scatter"")']",['analytics'],analytics,Can you make a {plot_type} chart of {natural_language_metric} since {natural_language_date}?,Plot {natural_language_metric} since {natural_language_date} as a {plot_type} chart
Plot average session duration since September 29 as a line chart,"['analytics.create_plot.func(time_min=""2023-09-29"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""line"")']",['analytics'],analytics,Can you make a {plot_type} chart of {natural_language_metric} since {natural_language_date}?,Plot {natural_language_metric} since {natural_language_date} as a {plot_type} chart
Create a bar chart of engaged users since September 4,"['analytics.create_plot.func(time_min=""2023-09-04"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""bar"")']",['analytics'],analytics,Can you make a {plot_type} chart of {natural_language_metric} since {natural_language_date}?,Create a {plot_type} chart of {natural_language_metric} since {natural_language_date}
Can you make a bar chart of total visits since September 9?,"['analytics.create_plot.func(time_min=""2023-09-09"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""bar"")']",['analytics'],analytics,Can you make a {plot_type} chart of {natural_language_metric} since {natural_language_date}?,Can you make a {plot_type} chart of {natural_language_metric} since {natural_language_date}?
Plot average session duration since September 26 as a bar chart,"['analytics.create_plot.func(time_min=""2023-09-26"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")']",['analytics'],analytics,Can you make a {plot_type} chart of {natural_language_metric} since {natural_language_date}?,Plot {natural_language_metric} since {natural_language_date} as a {plot_type} chart
please plot the distribution of the total visits metric on October 10,"['analytics.create_plot.func(time_min=""2023-10-10"", time_max=""2023-10-10"", value_to_plot=""total_visits"", plot_type=""histogram"")']",['analytics'],analytics,Plot the distribution of {natural_language_metric} on {natural_language_date},please plot the distribution of the {natural_language_metric} metric on {natural_language_date}
please plot the distribution of the total visits metric on October 20,"['analytics.create_plot.func(time_min=""2023-10-20"", time_max=""2023-10-20"", value_to_plot=""total_visits"", plot_type=""histogram"")']",['analytics'],analytics,Plot the distribution of {natural_language_metric} on {natural_language_date},please plot the distribution of the {natural_language_metric} metric on {natural_language_date}
Can you make a histogram of total visits on September 20?,"['analytics.create_plot.func(time_min=""2023-09-20"", time_max=""2023-09-20"", value_to_plot=""total_visits"", plot_type=""histogram"")']",['analytics'],analytics,Plot the distribution of {natural_language_metric} on {natural_language_date},Can you make a histogram of {natural_language_metric} on {natural_language_date}?
please plot the distribution of the total visits metric on September 9,"['analytics.create_plot.func(time_min=""2023-09-09"", time_max=""2023-09-09"", value_to_plot=""total_visits"", plot_type=""histogram"")']",['analytics'],analytics,Plot the distribution of {natural_language_metric} on {natural_language_date},please plot the distribution of the {natural_language_metric} metric on {natural_language_date}
please plot the distribution of the total visits metric on October 17,"['analytics.create_plot.func(time_min=""2023-10-17"", time_max=""2023-10-17"", value_to_plot=""total_visits"", plot_type=""histogram"")']",['analytics'],analytics,Plot the distribution of {natural_language_metric} on {natural_language_date},please plot the distribution of the {natural_language_metric} metric on {natural_language_date}
please plot the distribution of the average session duration metric on September 11,"['analytics.create_plot.func(time_min=""2023-09-11"", time_max=""2023-09-11"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")']",['analytics'],analytics,Plot the distribution of {natural_language_metric} on {natural_language_date},please plot the distribution of the {natural_language_metric} metric on {natural_language_date}
please plot the distribution of the total visits metric on November 14,"['analytics.create_plot.func(time_min=""2023-11-14"", time_max=""2023-11-14"", value_to_plot=""total_visits"", plot_type=""histogram"")']",['analytics'],analytics,Plot the distribution of {natural_language_metric} on {natural_language_date},please plot the distribution of the {natural_language_metric} metric on {natural_language_date}
please plot the distribution of the engaged users metric on November 15,"['analytics.create_plot.func(time_min=""2023-11-15"", time_max=""2023-11-15"", value_to_plot=""user_engaged"", plot_type=""histogram"")']",['analytics'],analytics,Plot the distribution of {natural_language_metric} on {natural_language_date},please plot the distribution of the {natural_language_metric} metric on {natural_language_date}
please plot the distribution of the engaged users metric on November 29,"['analytics.create_plot.func(time_min=""2023-11-29"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""histogram"")']",['analytics'],analytics,Plot the distribution of {natural_language_metric} on {natural_language_date},please plot the distribution of the {natural_language_metric} metric on {natural_language_date}
Plot the distribution of total visits on October 28,"['analytics.create_plot.func(time_min=""2023-10-28"", time_max=""2023-10-28"", value_to_plot=""total_visits"", plot_type=""histogram"")']",['analytics'],analytics,Plot the distribution of {natural_language_metric} on {natural_language_date},Plot the distribution of {natural_language_metric} on {natural_language_date}
Please plot for me the distribution of engaged users and total visits between November 5 and November 21,"['analytics.create_plot.func(time_min=""2023-11-05"", time_max=""2023-11-21"", value_to_plot=""user_engaged"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-11-05"", time_max=""2023-11-21"", value_to_plot=""total_visits"", plot_type=""histogram"")']",['analytics'],analytics,Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??,Please plot for me the distribution of {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}
I need a histogram of total visits and average session duration between September 29 and November 13,"['analytics.create_plot.func(time_min=""2023-09-29"", time_max=""2023-11-13"", value_to_plot=""total_visits"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-09-29"", time_max=""2023-11-13"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")']",['analytics'],analytics,Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??,I need a histogram of {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}
Can you plot the distribution of both total visits and average session duration between October 11 and November 19??,"['analytics.create_plot.func(time_min=""2023-10-11"", time_max=""2023-11-19"", value_to_plot=""total_visits"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-10-11"", time_max=""2023-11-19"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")']",['analytics'],analytics,Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??,Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??
